                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91105,                0.89836,                 1.3511,                0.76845,                0.77419,                0.82746,                 0.4932,                 1.2615,                 1.1523,                 1.8393,              0.0006932,              0.0006932,              0.0006932
                     36,                0.87764,                 0.8671,                 1.3111,                0.76117,                0.67742,                 0.7217,                 0.4751,                 1.2753,                 1.3647,                 1.8022,              0.0006536,              0.0006536,              0.0006536
                     37,                0.87495,                0.86335,                 1.3125,                0.88803,                 0.7677,                0.80533,                0.45541,                  1.379,                 1.1667,                 1.9028,               0.000614,               0.000614,               0.000614
                     38,                0.83755,                0.80239,                 1.2743,                0.88164,                0.67742,                0.80817,                0.54908,                 1.1845,                 1.0955,                 1.7026,              0.0005744,              0.0005744,              0.0005744
                     39,                0.86283,                0.82075,                 1.2996,                0.86726,                0.70968,                0.80183,                0.54318,                 1.2068,                 1.1419,                 1.6481,              0.0005348,              0.0005348,              0.0005348
                     40,                0.82314,                 0.7715,                 1.2666,                0.87748,                0.64516,                0.79003,                0.49653,                 1.2945,                 1.1655,                 1.8255,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72474,                 0.7344,                 1.2749,                0.78083,                0.74194,                0.79016,                0.50771,                 1.2849,                 1.1917,                 1.8193,              0.0004556,              0.0004556,              0.0004556
                     42,                0.67598,                0.65477,                 1.2151,                0.78783,                0.83849,                0.83192,                 0.5254,                 1.3523,                 1.1501,                 1.9414,               0.000416,               0.000416,               0.000416
                     43,                0.66481,                0.62961,                 1.2005,                0.87919,                0.70443,                0.80861,                0.56722,                 1.1345,                 1.0335,                 1.7005,              0.0003764,              0.0003764,              0.0003764
                     44,                0.61027,                0.58162,                 1.1726,                 0.9433,                0.70968,                 0.8268,                0.55163,                 1.1314,                 1.0787,                 1.7264,              0.0003368,              0.0003368,              0.0003368
                     45,                 0.5968,                0.56166,                 1.1505,                0.92825,                0.83474,                0.86934,                 0.5232,                 1.2339,                 1.0526,                 1.7794,              0.0002972,              0.0002972,              0.0002972
                     46,                0.57012,                0.50293,                  1.123,                0.95273,                0.80645,                0.86239,                0.53415,                 1.2734,                 1.1023,                 1.7937,              0.0002576,              0.0002576,              0.0002576
                     47,                0.55232,                0.48959,                 1.1078,                0.88439,                0.80645,                0.85839,                0.56765,                 1.2131,                 1.0284,                 1.7909,               0.000218,               0.000218,               0.000218
                     48,                0.52241,                0.48269,                 1.0797,                0.91025,                0.80645,                0.83986,                0.55869,                  1.203,                 1.1167,                 1.7471,              0.0001784,              0.0001784,              0.0001784
                     49,                0.50433,                 0.4609,                 1.0757,                0.92481,                0.80645,                0.87069,                0.56422,                 1.2141,                 1.0923,                 1.7867,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.4987,                0.45632,                 1.0785,                0.91995,                0.80645,                0.85962,                0.56223,                 1.2374,                 1.1072,                 1.7917,               9.92e-05,               9.92e-05,               9.92e-05
